cpg,chr,pos
cg04206906,chr16,1682085
cg24770019,chr6,125874336
cg13137145,chr4,112295036
cg09762115,chr2,85868185
cg21164418,chr4,184418659
cg22352834,chr11,62609444
cg02816194,chr1,40765923
cg20243900,chr19,1908389
cg22940273,chr7,938639
cg14234510,chr9,37786920
cg13718387,chr3,20036673
cg23243012,chr2,68655287
cg03617975,chr15,48812076
cg11382241,chr3,4847761
cg00026457,chr1,200147608
cg23128866,chr11,31433921
cg02895278,chr8,26338381
cg18117022,chr17,7611102
cg08730743,chr1,2257588
cg16473116,chr1,25813920
cg02717989,chr10,8013852
cg25234123,chr7,92575952
cg07050101,chr7,823139
cg17970461,chr1,109057100
cg08748368,chr2,74527747
cg00797460,chr8,38278286
cg19444925,chr20,63876237
cg11272457,chr11,116873232
cg26856083,chr16,56781360
cg04713275,chr8,115632994
cg01628107,chr1,119963685
cg04371099,chr2,70191515
cg13111994,chr18,80132420
cg15086660,chr7,149498765
cg00398938,chr14,90403510
cg22889602,chr11,61173995
cg05686889,chr2,8645935
cg05239347,chr15,101146061
cg00688460,chr12,48528613
cg11289591,chr11,46765749
cg00213550,chr17,75697629
cg27009036,chr2,232858016
cg10584177,chr1,11989779
cg16776173,chr16,4003785
cg17551702,chr3,194459937
cg22371232,chr22,43514937
cg05968179,chr10,11463707
cg11710553,chr4,104971803
cg08436915,chr9,4155366
cg15068227,chr17,7936823
cg01488862,chr12,107618869
cg08470053,chr19,53101968
cg10065839,chr21,43964481
cg13470719,chr7,157211530
cg25219734,chr8,102340549
cg24167223,chr11,62152355
cg10756170,chr10,74140292
cg02298949,chr2,200892341
cg25586543,chr5,138926166
cg02991513,chr14,90576111
cg24653707,chr8,98463783
cg15851652,chr4,150546459
cg13289493,chr2,6876827
cg13546664,chr11,36497421
cg23781719,chr6,43431250
cg27308899,chr14,103453887
cg13723763,chr1,246722972
cg15739904,chr8,124301644
cg13819249,chr10,50615180
cg19087530,chr8,68695012
cg08720566,chr16,87046288
cg18300438,chr2,680474
cg05529595,chr11,104037608
cg17649391,chr1,52962361
cg06496113,chr3,13399952
cg06946628,chr3,43365416
cg10213633,chr16,30672461
cg05642048,chr5,159262089
cg10684792,chr2,39542730
cg17184161,chr17,82915244
cg00110277,chr10,95908417
cg24801716,chr3,38346156
cg10798682,chr3,126101529
cg16577665,chr1,119160071
cg26191710,chr1,193282633
cg22570873,chr2,30986149
cg13818169,chr1,93010066
cg16720203,chr2,63873640
cg13206013,chr12,117052233
cg03020364,chr9,131745337
cg06071294,chr6,3007112
cg21869219,chr3,119402018
cg15090119,chr17,82925018
cg20141824,chr20,35654084
cg07046651,chr3,44798886
cg14821659,chr1,241602235
cg17760808,chr1,228264989
cg06439884,chr1,23333771
cg18021942,chr18,45850822
cg00544914,chr5,83054183
cg21624337,chr5,11152480
cg03278868,chr7,100087422
cg15063951,chr11,13671068
cg01634700,chr2,55687394
cg08653943,chr1,150814040
cg08049441,chr3,129387700
cg16811472,chr9,128825263
cg21183011,chr22,20773829
cg00894559,chr18,24430397
cg03668051,chr11,14517740
cg04697598,chr15,36755863
cg27367512,chr5,127070019
cg08374596,chr16,50710438
cg13566674,chr9,74947564
cg26871033,chr12,111736747
cg08219087,chr1,32789292
cg09256180,chr7,45064405
cg08006786,chr11,10713933
cg09817848,chr15,45662557
cg01574040,chr3,129881640
cg27323382,chr18,75058616
cg22991943,chr21,45515648
cg23592467,chr6,30070977
cg16690319,chr5,14663351
cg14444625,chr10,71320562
cg06817534,chr6,12024978
cg09424086,chr11,117225386
cg20442816,chr1,90940476
cg05391282,chr7,55485682
cg04127538,chr4,122195543
cg06706398,chr15,63761305
cg02423911,chr17,41187841
cg12032396,chr4,7055735
cg04128462,chr7,66948611
cg23351190,chr4,7797974
cg10793539,chr10,15103416
cg04983681,chr2,62725176
cg02028874,chr1,231425887
cg27003571,chr2,144294262
cg05676941,chr5,172924323
cg07051178,chr14,73966646
cg06655030,chr16,2759730
cg09696465,chr17,72938630
cg21393149,chr16,12193126
cg23111451,chr9,34454903
cg16983778,chr12,122255812
cg15959492,chr13,85799657
cg16806213,chr12,22545334
cg07638888,chr22,20024537
cg06146160,chr16,1752903
cg21642716,chr2,8640433
cg24879530,chr22,31477700
cg03020997,chr19,11522309
cg04122773,chr14,22586398
cg13963935,chr10,92606172
cg12552746,chr7,57387285
cg27063018,chr1,226701795
cg19923235,chr2,143776251
cg03129938,chr15,64567211
cg01809675,chr5,171457274
cg16083541,chr2,65309805
cg06927343,chr1,9575741
cg07943849,chr7,151504782
cg27123762,chr10,95741584
cg17897802,chr22,45417942
cg02181555,chr6,149363298
cg06451536,chr10,131954068
cg16304097,chr6,89567013
cg06151559,chr5,131201442
cg03369599,chr11,120611846
cg21947485,chr8,92966458
cg00976369,chr8,28771095
cg03096727,chr1,26572019
cg03745414,chr20,1635741
cg00579505,chr8,133464945
cg25877317,chr5,69045141
cg17997285,chr4,73102856
cg05890616,chr17,43781833
cg24296900,chr12,49263754
cg02404489,chr16,4634595
cg02375300,chr2,171407000
cg05945869,chr4,94537963
cg06825828,chr8,42950233
cg13319978,chr1,42533740
cg05713794,chr3,194399132
cg13104335,chr3,188624565
cg20578159,chr12,113798723
cg18475568,chr20,56516590
cg09864525,chr6,7181925
cg00529183,chr17,8482827
cg22431333,chr7,138528187
cg25894668,chr11,62879399
cg05702978,chr11,8812142
cg05116002,chr3,58165528
cg01182873,chr7,141764491
cg10835686,chr2,236389727
cg10595930,chr6,105374158
cg09229106,chr21,46462227
cg22278537,chr11,12266944
cg04157608,chr11,33248396
cg00776026,chr8,98049647
cg11487866,chr17,82615904
cg09728223,chr6,17618857
cg01758539,chr8,56068670
cg13245226,chr11,95840298
cg25264799,chr9,99183320
cg05840900,chr3,56938804
cg11493553,chr7,157201003
cg00746338,chr21,37391211
cg00492732,chr5,170502640
cg07190827,chr2,8138176
