"cpg","African_American","Asian","Hispanic","White","max_abs_coef","chr","pos","strand","chr_hg38","pos_hg38","Name","UCSC_RefGene_Name","UCSC_RefGene_Group","Relation_to_Island","GencodeBasicV12_NAME","GencodeBasicV12_Group","genic_features","nearest_gene"
"cg17992056",0,0,1.44334049711917,-0.847118307616741,1.44334049711917,"chr1",6296335,"-","chr1",6236275,"cg17992056","ICMT","TSS1500","S_Shore","ICMT;ICMT;ICMT;LINC00337;LINC00337;LINC00337","TSS1500;TSS1500;TSS1500;1stExon;5'UTR;TSS1500","hg38_cpg_shores; hg38_genes_1to5kb; hg38_genes_exons; hg38_genes_introns; hg38_genes_promoters","148645; 23463"
"cg21300361",0,0,1.26538313620204,-0.375769554639056,1.26538313620204,"chr8",10982332,"-","chr8",11124822,"cg21300361","XKR6","Body","OpenSea","AF131215.3;AF131215.3","5'UTR;5'UTR","hg38_cpg_inter; hg38_genes_introns","286046"
"cg16196077",0,1.11986035479431,0,-0.266226802276689,1.11986035479431,"chr10",64028521,"-","chr10",62268762,"cg16196077","RTKN2","TSS200","Island","RTKN2","TSS200","hg38_cpg_islands; hg38_genes_5UTRs; hg38_genes_exons; hg38_genes_promoters","219790"
"cg13787135",0,0,1.05196139964723,-0.0450249138299738,1.05196139964723,"chr14",21270407,"-","chr14",20802248,"cg13787135","RNASE1;RNASE1;RNASE1;RNASE1;RNASE1","5'UTR;5'UTR;1stExon;5'UTR;5'UTR","OpenSea","RNASE1;RNASE1;RNASE1;RNASE1;RNASE1;RNASE1;RNASE1","5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;ExonBnd;1stExon","hg38_cpg_inter; hg38_genes_introns","6035"
"cg18703601",0,0,1.05045251006003,-0.0676838752411746,1.05045251006003,"chr3",79817278,"+","chr3",79768128,"cg18703601","ROBO1","TSS1500","S_Shore","ROBO1","TSS1500","hg38_cpg_shores; hg38_genes_promoters","6091"
"cg14078059",-0.149220578874379,0,1.02354956453986,0,1.02354956453986,"chr12",65174660,"+","chr12",64780880,"cg14078059","","","Island","TBC1D30;TBC1D30","TSS1500;1stExon","hg38_cpg_islands; hg38_genes_exons; hg38_genes_introns; hg38_genes_promoters","23329"
"cg05870072",0,0,0.994080189425795,0,0.994080189425795,"chr16",54965087,"+","chr16",54931175,"cg05870072","IRX5","TSS200","Island","IRX5;IRX5;IRX5;IRX5","TSS1500;5'UTR;1stExon;TSS200","hg38_cpg_islands; hg38_genes_1to5kb; hg38_genes_5UTRs; hg38_genes_exons; hg38_genes_promoters","10265; 105371275; 643911"
"cg00575153",0.983235606885634,0,0,0,0.983235606885634,"chr8",145047469,"-","chr8",143973301,"cg00575153","PLEC1;PLEC1","Body;Body","Island","","","hg38_cpg_islands; hg38_genes_introns","5339"
"cg18026955",0,0,0.981139270145295,-0.0453149025263904,0.981139270145295,"chr1",12541215,"-","chr1",12481160,"cg18026955","VPS13D;VPS13D","Body;Body","OpenSea","VPS13D","5'UTR","hg38_cpg_inter; hg38_genes_introns","55187"
"cg01770232",0,0.94270062397647,0,-0.915852344287821,0.94270062397647,"chr7",22766155,"+","chr7",22726536,"cg01770232","IL6","TSS1500","OpenSea","AC073072.5;IL6;IL6;IL6;IL6;IL6;IL6","3'UTR;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;5'UTR","hg38_cpg_inter; hg38_genes_exons; hg38_genes_introns; hg38_genes_promoters","3569; 541472"
"cg16538728",0,0,0.927910499550216,0,0.927910499550216,"chr16",57334448,"+","chr16",57300536,"cg16538728","","","OpenSea","","","hg38_cpg_inter",""
"cg00777560",0,0,-0.919499943044445,0,0.919499943044445,"chr12",10954529,"-","chr12",10801930,"cg00777560","TAS2R7","1stExon","OpenSea","TAS2R7","1stExon","hg38_cpg_inter; hg38_genes_exons","50837"
"cg17940256",0,0,0.911237684406117,0,0.911237684406117,"chr2",65179622,"+","chr2",64952488,"cg17940256","","","OpenSea","","","hg38_cpg_inter; hg38_genes_introns; hg38_genes_promoters","400958"
"cg26245086",0,0,0.907683031529038,-0.827291497433951,0.907683031529038,"chr4",87860957,"+","chr4",86939805,"cg26245086","AFF1","5'UTR","S_Shelf","AFF1;AFF1;AFF1","5'UTR;5'UTR;5'UTR","hg38_cpg_shelves; hg38_genes_1to5kb; hg38_genes_introns","100506746; 132989; 4299"
"cg14152268",0,-0.617332541573793,0,0.898054509565513,0.898054509565513,"chr14",105287427,"-","chr14",104821090,"cg14152268","MGC23270","TSS200","OpenSea","RP11-477I4.3","TSS200","hg38_cpg_inter; hg38_genes_promoters","196872"
"cg17625891",0,0,-0.896388619990929,0,0.896388619990929,"chr4",41218583,"+","chr4",41216566,"cg17625891","","","Island","","","hg38_cpg_islands; hg38_genes_1to5kb; hg38_genes_exons","323"
"cg14671000",0,-0.88718396004581,0,0,0.88718396004581,"chr2",7189116,"+","chr2",7048985,"cg14671000","","","OpenSea","","","hg38_cpg_inter; hg38_genes_introns","101929452; 9781"
"cg24800175",0,0.885062616129028,0,-0.0754939865400633,0.885062616129028,"chr19",13345599,"+","chr19",13234785,"cg24800175","CACNA1A;CACNA1A","Body;Body","N_Shore","CACNA1A","3'UTR","hg38_cpg_inter; hg38_genes_1to5kb; hg38_genes_introns","773"
"cg05682581",-0.0433400584688777,0,0.883550133662041,0,0.883550133662041,"chr8",929958,"+","chr8",979958,"cg05682581","","","S_Shore","CTD-3212A4.1","5'UTR","hg38_cpg_shores; hg38_genes_introns","9228"
"cg16329197",0,0,0,0.86991397073399,0.86991397073399,"chr12",53359506,"+","chr12",52965722,"cg16329197","","","Island","","","hg38_cpg_islands",""
"cg10861135",0,0,0.846884155975323,0,0.846884155975323,"chr9",14345348,"-","chr9",14345349,"cg10861135","","","N_Shore","RP11-120J1.1","5'UTR","hg38_cpg_shores; hg38_genes_1to5kb; hg38_genes_introns","123706550; 4781"
"cg00460436",0,0,0,0.808470501835442,0.808470501835442,"chr16",4401729,"-","chr16",4351728,"cg00460436","Magmas","TSS1500","S_Shore","PAM16;PAM16;PAM16;PAM16;CORO7","5'UTR;TSS1500;TSS1500;TSS1500;3'UTR","hg38_cpg_shores; hg38_genes_1to5kb; hg38_genes_introns; hg38_genes_promoters","100529144; 51025"
"cg03272225",0,0,0.807638376534414,-0.185992420709113,0.807638376534414,"chr19",17957106,"+","chr19",17846297,"cg03272225","JAK3","5'UTR","N_Shore","JAK3;JAK3;JAK3;JAK3","3'UTR;5'UTR;5'UTR;5'UTR","hg38_cpg_shores; hg38_genes_1to5kb; hg38_genes_introns","3718"
"cg08915171",0,-0.788927254539474,0,0,0.788927254539474,"chr2",105273376,"+","chr2",104656918,"cg08915171","","","N_Shelf","","","hg38_cpg_shelves; hg38_genes_1to5kb; hg38_genes_exons","105373526"
"cg06229980",0,0,0,-0.786341647394974,0.786341647394974,"chr15",36623778,"-","chr15",36331577,"cg06229980","","","OpenSea","","","hg38_cpg_inter",""
